Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-May-2017,950.00,965.70,950.00,963.90,959.159764526186989845,839329,6777,805050606.00,209651,24.98,15.70,13.90
11-May-2017,945.00,948.70,937.75,943.85,944.782429036187304377,64857,1992,61275754.00,23438,36.14,10.95,-1.15
10-May-2017,947.00,949.70,937.20,943.20,944.061720518882675973,79941,2182,75469238.00,33125,41.44,12.50,-3.80
9-May-2017,949.90,951.00,942.25,946.70,947.358009666539170346,201313,2353,190715483.00,146941,72.99,8.75,-3.20
8-May-2017,936.00,948.45,932.75,945.45,940.891985224301861269,153766,5485,144677197.00,82616,53.73,15.70,9.45
5-May-2017,936.00,936.40,921.25,931.50,928.876897901499725716,107553,3298,99903497.00,31594,29.38,15.15,-4.50
4-May-2017,935.00,939.20,929.15,936.30,935.212577560681213812,106046,3090,99175553.00,28090,26.49,10.05,1.30
3-May-2017,924.30,938.80,918.20,935.65,932.314802587552977916,224150,5225,208978363.00,59400,26.50,20.60,11.35
2-May-2017,924.80,925.75,915.65,921.00,921.214097369605762428,77745,2757,71619790.00,30270,38.93,10.10,-3.80
28-April-2017,925.05,926.50,916.90,919.40,920.444815182695738545,103697,3029,95447366.00,46632,44.97,9.60,-5.65
27-April-2017,920.00,926.45,916.00,923.95,922.572091994692613887,126616,3355,116812388.00,41033,32.41,10.45,3.95
26-April-2017,933.00,934.70,910.40,914.05,917.301681589045218568,265820,9858,243837133.00,110632,41.62,24.30,-18.95
25-April-2017,929.80,933.00,920.50,929.00,928.859655623903752563,161916,4646,150397240.00,58626,36.21,12.50,-0.80
24-April-2017,918.80,928.00,913.00,926.05,919.554064739814073255,197282,5498,181411465.00,76750,38.90,15.00,7.25
21-April-2017,934.20,934.20,921.30,923.70,925.925441360774853483,138039,3457,127813822.00,58306,42.24,12.90,-10.50
20-April-2017,920.00,929.80,919.05,927.65,924.371500945906948407,187122,6480,172970244.00,67404,36.02,10.75,7.65
19-April-2017,929.80,929.80,912.00,918.80,917.817662452067571769,308768,8585,283392724.00,123095,39.87,17.80,-11.00
18-April-2017,925.00,934.00,919.55,922.40,926.564954013223506814,270730,7986,250848930.00,97481,36.01,14.45,-2.60
17-April-2017,932.00,932.35,921.90,924.80,926.946677803716633469,280146,7932,259680404.00,99502,35.52,10.45,-7.20
13-April-2017,974.00,990.95,927.00,931.40,942.883845989354411529,1552568,46351,1463891287.00,449623,28.96,63.95,-42.60
12-April-2017,972.00,976.05,961.05,968.80,968.714439954926708753,212099,6185,205463364.00,75815,35.75,15.00,-3.20
11-April-2017,955.00,971.20,955.00,967.15,966.227862387298849845,157718,5571,152391526.00,69259,43.91,16.20,12.15
10-April-2017,982.00,991.00,950.00,952.95,965.201208080394012647,331766,11770,320220944.00,173341,52.25,41.00,-29.05
7-April-2017,1000.00,1000.00,979.00,981.25,986.385172808593422755,214862,7715,211936691.00,96104,44.73,21.00,-18.75
6-April-2017,995.10,1005.80,992.00,999.15,1000.134141847298066936,89547,3164,89559012.00,27871,31.12,13.80,4.05
5-April-2017,1005.00,1006.00,991.00,995.40,997.502400867852350909,175145,6067,174707558.00,81488,46.53,15.00,-9.60
3-April-2017,1027.10,1030.50,1006.55,1009.45,1011.331675843192541929,157467,5491,159251365.00,63991,40.64,23.95,-17.65
31-March-2017,1026.00,1028.80,1009.80,1020.80,1022.889774395731043084,316705,4969,323954306.00,26315,8.31,19.00,-5.20
30-March-2017,1034.20,1035.85,1020.10,1024.50,1027.419379666527599948,139022,4709,142833897.00,63292,45.53,15.75,-9.70
29-March-2017,1035.00,1040.50,1025.85,1031.35,1033.851664237763301903,341718,2349,353285723.00,127931,37.44,14.65,-3.65
28-March-2017,1026.25,1038.75,1026.25,1035.10,1035.093695566668539641,71188,2263,73686250.00,29987,42.12,12.50,8.85
27-March-2017,1033.00,1041.95,1024.30,1028.80,1034.648673339530133603,250667,6298,259352279.00,137379,54.81,17.65,-4.20
24-March-2017,1040.40,1043.95,1026.00,1031.80,1033.747082441306431964,138729,5340,143410699.00,69004,49.74,17.95,-8.60
23-March-2017,1028.00,1042.55,1026.55,1040.60,1037.726340635145725267,107188,3720,111231811.00,59190,55.22,16.00,12.60
22-March-2017,1020.00,1039.00,1020.00,1027.80,1029.325774545955819002,116068,4497,119471784.00,42984,37.03,19.00,7.80
21-March-2017,1021.00,1034.80,1018.90,1032.00,1027.562500000000000000,101168,3428,103956443.00,29134,28.80,15.90,11.00
20-March-2017,1029.00,1029.00,1015.90,1020.60,1019.963877661204418438,137062,4581,139798289.00,61308,44.73,13.10,-8.40
17-March-2017,1035.00,1042.50,1020.45,1040.00,1032.359168565433143906,111037,4936,114630065.00,42886,38.62,22.05,5.00
16-March-2017,1012.00,1032.00,1012.00,1028.50,1024.639363605590212292,103395,4234,105942587.00,47360,45.80,20.00,16.50
15-March-2017,1035.00,1035.00,1008.00,1012.10,1015.186140490473934073,111851,5505,113549585.00,39336,35.17,27.00,-22.90
