Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-Apr-10,2620,2677.95,2620,2671.4,2660.643215,149482,6686,397718269,66264,44.33,57.95,51.4
5-Apr-10,2694,2694,2640.1,2672.9,2667.709279,92969,4401,248014264,28407,30.56,53.9,-21.1
6-Apr-10,2681,2684.9,2645,2649.5,2656.699107,46239,2612,122843110,9352,20.23,39.9,-31.5
7-Apr-10,2630,2660,2560.4,2644.05,2639.532927,122011,5311,322052052,45643,37.41,99.6,14.05
8-Apr-10,2628,2677,2628,2657.85,2660.103682,88984,4571,236706666,18137,20.38,49,29.85
9-Apr-10,2659.1,2697.9,2659.1,2678.85,2683.052576,92058,5056,246996454,22454,24.39,38.8,19.75
12-Apr-10,2685,2695.9,2652.35,2683.25,2679.410546,99224,5525,265861832,21535,21.7,43.55,-1.75
13-Apr-10,2650,2790,2635,2782.35,2726.071788,1824747,69193,4974391317,289120,15.84,155,132.35
15-Apr-10,2799,2823.8,2760,2801.55,2804.807662,417053,18288,1169753450,101813,24.41,63.8,2.55
16-Apr-10,2803,2809,2761,2785.8,2789.752751,135697,7651,378561079,12721,9.37,48,-17.2
19-Apr-10,2770,2770,2739.35,2752.2,2753.080429,85765,5013,236117943,11387,13.28,30.65,-17.8
20-Apr-10,2769,2769,2721,2724.9,2739.290416,78880,4527,216075228,11643,14.76,48,-44.1
21-Apr-10,2749,2749,2703,2716,2723.092575,67448,4653,183667148,6624,9.82,46,-33
22-Apr-10,2717,2760,2696,2718.05,2726.395266,102498,6302,279450062,9933,9.69,64,1.05
23-Apr-10,2736,2752.5,2718.05,2728.1,2734.226854,51932,3526,141993869,8775,16.9,34.45,-7.9
26-Apr-10,2747.55,2750.4,2725.1,2740.7,2739.15206,43075,1724,117988975,22828,53,25.3,-6.85
27-Apr-10,2731,2745,2724.35,2741.65,2738.867223,72761,2777,199282718,28061,38.57,20.65,10.65
28-Apr-10,2720.25,2730.6,2693.3,2700.55,2712.012361,43523,2536,118034914,9397,21.59,37.3,-19.7
29-Apr-10,2704,2720,2676.3,2706.25,2693.686619,67493,3605,181804991,8645,12.81,43.7,2.25
30-Apr-10,2719,2754,2677.8,2736.15,2721.617146,120166,6123,327045846,26771,22.28,76.2,17.15
3-May-10,2697,2719.8,2680,2694.5,2698.114973,90552,3218,244319707,43858,48.43,39.8,-2.5
4-May-10,2712,2712,2654,2666.95,2694.401542,298614,3394,804586022,252008,84.39,58,-45.05
5-May-10,2646,2697.5,2609.25,2687.8,2648.606477,218018,6750,577443887,97472,44.71,88.25,41.8
6-May-10,2675.05,2681.5,2646,2660.15,2664.46831,79693,3670,212339473,26694,33.5,35.5,-14.9
7-May-10,2631,2646,2609.1,2619.65,2627.35687,78628,3693,206583816,25668,32.64,36.9,-11.35
10-May-10,2630,2707.7,2630,2675.1,2662.787777,47615,2904,126788640,9014,18.93,77.7,45.1
11-May-10,2668,2670.8,2640,2663.15,2652.117649,179415,2803,475829688,140975,78.57,30.8,-4.85
12-May-10,2615,2696.85,2615,2681.3,2678.680129,69625,3547,186503104,11071,15.9,81.85,66.3
13-May-10,2720,2875,2680.45,2702.15,2702.196069,64518,3780,174340286,7560,11.72,194.55,-17.85
14-May-10,2690,2726.8,2631.25,2656.85,2697.02345,72496,3643,195523412,16759,23.12,95.55,-33.15
17-May-10,2636,2636,2581.2,2615.7,2599.38718,85198,4576,221462589,14139,16.6,54.8,-20.3
18-May-10,2621.55,2633.7,2586,2623,2616.837923,66968,3908,175244402,8328,12.44,47.7,1.45
19-May-10,2625,2649.9,2595,2603.1,2625.00477,65831,4204,172806689,6661,10.12,54.9,-21.9
20-May-10,2616,2631.9,2590,2600.4,2605.748852,91894,3676,239452685,36384,39.59,41.9,-15.6
21-May-10,2565,2600,2550,2586.15,2586.022161,72019,2997,186242730,28137,39.07,50,21.15
24-May-10,2630,2630,2584.4,2596.75,2604.460758,89101,2238,232060058,52107,58.48,45.6,-33.25
25-May-10,2582,2582,2510,2533.3,2541.136381,89184,3833,226628707,38703,43.4,72,-48.7
26-May-10,2565.05,2630,2555.2,2618.7,2594.679464,52643,3652,136591711,10933,20.77,74.8,53.65
27-May-10,2624,2658,2595,2643.45,2617.659464,112825,4732,295337429,41193,36.51,63,19.45
28-May-10,2670,2683,2638,2674.9,2663.044558,82566,4535,219876937,23454,28.41,45,4.9
31-May-10,2670,2683.7,2630.35,2657.65,2657.450338,50038,3006,132973500,8504,17,53.35,-12.35
1-Jun-10,2655,2657.5,2619,2625.25,2635.606871,35019,1949,92296317,7745,22.12,38.5,-29.75
2-Jun-10,2636,2660,2629,2644.2,2640.59504,44923,2087,118623451,11323,25.21,31,8.2
